Transaction Date,Type,Market,Amount,Rate inc. fee,Rate ex. fee,Fee,Fee AUD (inc GST),GST AUD,Total AUD,Total (inc GST)
30/07/2020 0:12,Sell,VET/ETH,99,4.74578E-05,4.79372E-05,0.0000474578483939999 ETH,0.02,0,2.15,0.004698326991006 ETH
30/07/2020 0:11,Sell,XRP/ETH,1,0.000727189,0.000734534,0.000007345344785727277 ETH,0,0,0.33,0.000727189133787 ETH
30/07/2020 0:10,Sell,ONG/ETH,0.0584041,0.000540754,0.000546217,3.1901292395493754e-7 ETH,0,0,0.01,0.00003158227947153878 ETH
30/07/2020 0:09,Sell,EOS/ETH,0.00005781,0.009306883,0.009400892,5.434655424709216e-9 ETH,0,0,0,5.38030887046214e-7 ETH
30/07/2020 0:09,Sell,VTHO/ETH,636.1663069,5.11369E-06,5.16535E-06,0.00003286019839922674 ETH,0.02,0,1.5,0.00325315964152343 ETH
30/07/2020 0:09,Sell,MIOTA/ETH,100,0.000839124,0.0008476,0.0008476002509141406 ETH,0.39,0.04,38.44,0.0839124248405 ETH
30/07/2020 0:08,Sell,FTM/ETH,6500,3.92025E-05,3.95984E-05,0.0025738984696060396 ETH,1.19,0.11,118.28,0.25481594849100003 ETH
30/07/2020 0:07,Sell,BSV/ETH,1,0.650280567,0.656849058,0.00656849057598774 ETH,3.03,0.28,299.6,0.650280567022785 ETH
24/07/2020 16:05,Buy,VTHO/AUD,315.009265,0.003238,0.003205941,0.010099009900990108 AUD,0.01,0,1.02,1.02 AUD
24/07/2020 15:56,Buy,MCO/AUD,249,6.02,5.96039604,14.84138613861387 AUD,14.84,1.35,1498.98,1498.98 AUD
24/07/2020 15:48,Sell,WAN/MCO,319.0194255,0.065922364,0.066588246,0.21242944032573163 MCO,1.25,0.11,123.93,21.030514592247396 MCO
21/07/2020 1:02,Sell,ETC/WAN,15,21.20129503,21.41544953,3.2123174294060277 WAN,1.3,0.12,129.17,318.01942551119765 WAN
20/07/2020 22:37,Sell,SYS/BTC,801.7777778,1.38204E-05,0.00001396,0.00011192817777808811 BTC,1.51,0.14,149.22,0.011080889600030713 BTC
20/07/2020 19:57,Sell,RVN/SYS,3280,0.244444444,0.24691358,8.09876543209873 SYS,0.96,0.09,94.58,801.7777777777764 SYS
19/07/2020 21:48,Buy,BTC/AUD,0.00053482,13387.54,13255.13053,0.07089108910891095 AUD,0.07,0.01,7.16,7.16 AUD
19/07/2020 21:46,Sell,ADA/BTC,9,1.32759E-05,1.341E-05,0.0000012068999999999969 BTC,0.02,0,1.57,0.00011948309999999999 BTC
19/07/2020 21:46,Sell,ADA/BTC,1,1.32759E-05,1.341E-05,1.3409999999999928e-7 BTC,0,0,0.17,0.0000132759 BTC
19/07/2020 21:45,Sell,CRO/BTC,2,1.55529E-05,0.00001571,3.1419999999999777e-7 BTC,0,0,0.41,0.0000311058 BTC
19/07/2020 21:43,Sell,BSV/AUD,0.03,238.67,241.0808081,0.07232424242424251 AUD,0.07,0.01,7.16,7.160099999999999 AUD
19/07/2020 21:42,Sell,ETC/BTC,1,0.000646995,0.00065353,0.000006535299999999998 BTC,0.09,0.01,8.52,0.0006469947 BTC
19/07/2020 21:40,Sell,ONT/BTC,1.18715045,8.26155E-05,0.00008345,9.906770505249945e-7 BTC,0.01,0,1.29,0.00009807702800197501 BTC
19/07/2020 21:40,Sell,HOT/BTC,985,7.36E-08,7.44E-08,7.32767647272726e-7 BTC,0.01,0,0.96,0.00007254399708 BTC
19/07/2020 21:38,Buy,BTC/AUD,0.00821497,13390.18,13257.61276,1.0891089108910847 AUD,1.09,0.1,110,110.00 AUD
18/07/2020 17:25,Sell,ETC/ONT,0.75074921,7.892489945,7.972212066,0.05985131910362007 ONT,0.06,0.01,6.4,5.925280591258353 ONT
18/07/2020 17:24,Sell,RVN/ONT,8.71641398,0.026062157,0.026325411,0.0022946318338574467 ONT,0,0,0.25,0.22716855155188664 ONT
18/07/2020 17:21,Sell,CRO/ONT,5.53957938,0.18678337,0.188670071,0.010451528322100723 ONT,0.01,0,1.12,1.0347013038879624 ONT
